id;start_date;end_date;language
1;2024-09-27T15:10:01;2024-09-28T08:03:13;ENGLISH
2;2024-09-28T01:37:45;2024-09-27T13:13:06;ENGLISH
3;2024-09-27T14:28:25;2024-09-27T13:49:05;FRENCH
4;2024-09-27T22:42:58;2024-09-27T18:50:46;ENGLISH
5;2024-09-27T12:22:05;2024-09-28T07:22:15;FRENCH
6;2024-09-27T18:17:05;2024-09-28T08:17:24;FRENCH
7;2024-09-27T13:37:22;2024-09-27T17:24:05;ENGLISH
8;2024-09-28T04:37:00;2024-09-28T07:03:01;ENGLISH
9;2024-09-27T12:50:14;2024-09-27T21:07:37;SPANISH
10;2024-09-28T08:24:58;2024-09-28T03:56:19;FRENCH
